age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3
18,4,4,2,2,0,4,3,4,1,1,3,6,6
17,1,1,1,2,0,5,3,3,1,1,3,4,6
15,1,1,1,2,3,4,3,2,2,3,3,10,10
15,4,2,1,3,0,3,2,2,1,1,5,2,15
16,3,3,1,2,0,4,3,2,1,2,5,4,10
16,4,3,1,2,0,5,4,2,1,2,5,10,15
16,2,2,1,2,0,4,4,4,1,1,3,0,11
17,4,4,2,2,0,4,1,4,1,1,1,6,6
15,3,2,1,2,0,4,2,2,1,1,1,0,19
15,3,4,1,2,0,5,5,1,1,1,5,0,15
15,4,4,1,2,0,3,3,3,1,2,2,0,9
15,2,1,3,3,0,5,2,2,1,1,4,4,12
15,4,4,1,1,0,4,3,3,1,3,5,2,14
15,4,3,2,2,0,5,4,3,1,2,3,2,11
15,2,2,1,3,0,4,5,2,1,1,3,0,16
16,4,4,1,1,0,4,4,4,1,2,2,4,14
16,4,4,1,3,0,3,2,3,1,2,2,6,14
16,3,3,3,2,0,5,3,2,1,1,4,4,10
17,3,2,1,1,3,5,5,5,2,4,5,16,5
16,4,3,1,1,0,3,1,3,1,3,5,4,10
15,4,3,1,2,0,4,4,1,1,1,1,0,15
15,4,4,1,1,0,5,4,2,1,1,5,0,15
16,4,2,1,2,0,4,5,1,1,3,5,2,16
16,2,2,2,2,0,5,4,4,2,4,5,0,12
15,2,4,1,3,0,4,3,2,1,1,5,2,8
16,2,2,1,1,2,1,2,2,1,3,5,14,8
15,2,2,1,1,0,4,2,2,1,2,5,2,11
15,4,2,1,1,0,2,2,4,2,4,1,4,15
16,3,4,1,2,0,5,3,3,1,1,5,4,11
16,4,4,1,2,0,4,4,5,5,5,5,16,11
15,4,4,1,2,0,5,4,2,3,4,5,0,12
15,4,4,2,2,0,4,3,1,1,1,5,0,17
15,4,3,1,2,0,4,5,2,1,1,5,0,16
15,3,3,1,2,0,5,3,2,1,1,2,0,12
16,3,2,1,1,0,5,4,3,1,1,5,0,15
15,2,3,2,1,0,3,5,1,1,1,5,0,6
15,4,3,1,3,0,5,4,3,1,1,4,2,18
16,4,4,2,3,0,2,4,3,1,1,5,7,15
15,3,4,1,3,0,4,3,2,1,1,5,2,11
15,2,2,1,1,0,4,3,1,1,1,2,8,13
16,2,2,2,2,1,3,3,3,1,2,3,25,11
15,4,4,1,1,0,5,4,3,2,4,5,8,12
15,4,4,1,2,0,4,3,3,1,1,5,2,18
15,2,2,1,1,0,5,4,1,1,1,1,0,11
16,2,2,2,2,1,4,3,3,2,2,5,14,9
15,4,3,1,2,0,5,2,2,1,1,5,8,6
16,3,3,1,2,0,2,3,5,1,4,3,12,11
16,4,3,1,4,0,4,2,2,1,1,2,4,20
15,4,2,1,2,0,4,3,3,2,2,5,2,14
15,4,4,1,2,1,4,4,4,1,1,3,2,7
16,2,2,3,2,0,4,3,3,2,3,4,2,13
15,4,2,1,2,0,4,3,3,1,1,5,2,13
15,4,2,2,1,1,5,5,5,3,4,5,6,10
15,4,4,1,1,0,3,3,4,2,3,5,0,11
15,3,3,1,1,0,5,3,4,4,4,1,6,13
16,2,1,1,2,0,5,3,4,1,1,2,8,10
15,4,3,1,2,0,4,3,2,1,1,1,0,15
15,4,4,1,2,0,3,2,2,1,1,5,4,15
15,1,2,1,2,0,4,3,2,1,1,5,2,9
16,4,2,1,2,0,4,2,3,1,1,5,2,16
16,4,4,1,2,0,2,4,4,2,3,4,6,11
16,1,1,4,1,0,5,5,5,5,5,5,6,11
16,1,2,1,2,0,4,4,3,1,1,1,4,9
16,4,3,1,3,0,3,4,4,2,4,4,2,9
15,4,3,1,2,0,4,4,4,2,4,2,0,10
16,4,3,3,2,0,5,4,3,1,2,1,2,15
15,4,4,1,4,0,1,3,3,5,5,3,4,12
16,3,1,1,4,0,4,3,3,1,2,5,4,6
15,2,2,2,2,0,4,1,3,1,3,4,2,8
15,3,1,2,4,0,4,4,2,2,3,3,12,16
16,3,1,2,4,0,4,3,2,1,1,5,0,15
15,4,2,1,4,0,3,3,3,1,1,3,0,10
